,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,airai,-8.9266,125.4092,66.02,62,10,4.09,TL,1620778930
1,syracuse,37.0881,15.2792,61.0,88,0,8.05,IT,1620778649
2,hermanus,-34.4187,19.2345,57.99,82,0,1.99,ZA,1620778933
3,oranjemund,-28.55,16.4333,58.28,84,0,6.11,NA,1620778934
4,pevek,69.7008,170.3133,18.72,87,94,2.57,RU,1620778935
5,dongsheng,39.8161,109.9776,58.48,38,7,10.83,CN,1620778937
6,jamestown,42.097,-79.2353,45.0,56,40,5.75,US,1620778706
7,vaini,-21.2,-175.2,78.8,69,75,11.5,TO,1620778939
8,bogovarovo,58.9785,47.0246,45.7,73,72,2.89,RU,1620778751
9,yellowknife,62.456,-114.3525,37.99,60,75,10.36,CA,1620778941
10,lagoa,39.05,-27.9833,60.98,82,30,12.3,PT,1620778943
11,sao sebastiao,20.5113,76.2129,78.4,40,16,10.94,IN,1620778944
12,porto novo,41.1496,-8.611,57.2,94,75,18.41,PT,1620778945
13,albany,42.6001,-73.9662,51.01,41,54,10.45,US,1620778779
14,mataura,-46.1927,168.8643,48.99,79,51,3.0,NZ,1620778948
15,punta arenas,8.9897,125.34,82.92,73,69,4.76,PH,1620778740
16,ponta do sol,38.7333,-28.2667,56.71,79,31,9.28,PT,1620778950
17,rikitea,-23.1203,-134.9692,77.77,78,82,22.21,PF,1620778951
18,sitka,57.0531,-135.33,46.4,81,90,3.53,US,1620778953
19,pisco,-13.7,-76.2167,64.99,88,0,10.36,PE,1620778954
20,nuuk,64.1835,-51.7216,35.6,87,66,5.75,GL,1620778810
21,mys shmidta,62.0589,48.6201,49.73,90,93,6.22,RU,1620778956
22,mulchen,-37.7167,-72.2333,46.4,87,89,3.58,CL,1620778957
23,murchison,-41.8,172.3333,44.38,95,100,1.34,NZ,1620778959
24,saint-philippe,-21.3585,55.7679,73.4,73,0,3.44,RE,1620778960
25,kembolcha,11.0816,39.7434,62.96,67,54,4.79,ET,1620778961
26,castro,-24.7911,-50.0119,62.69,58,100,2.51,BR,1620778963
27,port elizabeth,-7.0349,29.7638,68.92,75,1,5.46,CD,1620778964
28,mehriz,31.5917,54.4318,71.6,37,40,9.22,IR,1620778965
29,komsomolskiy,40.4272,71.7189,60.8,67,0,6.91,UZ,1620778966
30,necochea,-38.5473,-58.7368,49.89,60,9,6.55,AR,1620778968
31,ancud,-41.8697,-73.8203,51.01,87,90,4.61,CL,1620778969
32,riyadh,24.6877,46.7219,82.4,32,0,7.83,SA,1620778747
33,noumea,-22.2763,166.4572,86.0,58,75,4.61,NC,1620778971
34,isiro,2.7739,27.616,66.16,99,99,2.46,CD,1620778973
35,busselton,-33.65,115.3333,57.0,96,90,4.0,AU,1620778974
36,atuona,-9.8,-139.0333,80.17,79,19,24.63,PF,1620778975
37,puerto ayora,36.5939,-6.233,62.6,72,0,8.05,ES,1620778977
38,grand river south east,38.8755,-109.5012,64.4,12,1,4.61,US,1620778978
39,saskylakh,71.9167,114.0833,20.16,87,95,9.48,RU,1620778979
40,havre-saint-pierre,50.2334,-63.5986,44.6,76,75,4.61,CA,1620778980
41,suzhou,31.3114,120.6181,69.8,100,75,11.18,CN,1620778982
42,klaksvik,62.2266,-6.589,37.4,81,75,5.75,FO,1620778983
43,tuktoyaktuk,69.4541,-133.0374,26.6,86,40,16.11,CA,1620778984
44,sorland,67.667,12.6934,42.51,93,72,15.59,NO,1620778986
45,bambous virieux,-20.2567,57.4061,72.0,94,40,5.75,MU,1620778987
