,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tasiilaq,65.6145,-37.6368,28.4,93,75,18.41,GL,1620782037
1,mount gambier,53.6597,-1.8537,43.0,96,56,2.33,GB,1620782608
2,alice springs,27.7523,-98.0697,84.2,78,40,14.97,US,1620782609
3,cidreira,-30.1811,-50.2056,58.33,71,100,8.21,BR,1620782063
4,beringovskiy,63.05,179.3167,32.16,99,100,3.29,RU,1620782026
5,yellowknife,62.456,-114.3525,36.0,60,75,10.36,CA,1620781979
6,atuona,-9.8,-139.0333,80.13,80,13,24.63,PF,1620782614
7,ponta delgada,38.7333,-28.2667,56.46,81,6,10.31,PT,1620782615
8,baghmara,23.795,86.2085,80.28,59,0,3.78,IN,1620782616
9,cape town,-36.413,-71.9028,55.0,100,44,2.3,CL,1620782618
10,tura,25.5198,90.2201,70.21,86,100,2.55,IN,1620782103
11,poum,-20.2333,164.0167,79.68,76,100,14.23,NC,1620782098
12,shelburne,44.0787,-80.2041,42.01,79,100,1.01,CA,1620782621
13,bengkulu,-3.8004,102.2655,79.0,88,91,2.98,ID,1620782029
14,ushuaia,-54.8,-68.3,55.4,44,75,10.36,AR,1620782624
15,avarua,-21.2078,-159.775,77.0,83,40,3.44,CK,1620782084
16,oyon,-10.6681,-76.7731,43.59,87,5,6.55,PE,1620782626
17,rikitea,-23.1203,-134.9692,77.99,77,43,22.44,PF,1620782627
18,kavaratti,10.5669,72.642,85.03,71,100,6.35,IN,1620782046
19,castro,-24.7911,-50.0119,62.47,63,100,2.53,BR,1620782630
20,chake chake,23.86,103.046,72.77,55,3,6.53,CN,1620782631
21,amapa,1.0,-52.0,70.14,99,100,1.05,BR,1620782632
22,cayenne,4.9333,-52.3333,79.0,88,90,2.3,GF,1620782633
23,baruun-urt,46.6806,113.2792,47.55,38,3,12.84,MN,1620782635
24,catamarca,-28.4696,-65.7852,57.99,83,8,7.81,AR,1620782636
25,norden,53.6,7.2,50.0,98,100,1.99,DE,1620782637
26,patna,25.6,85.1167,69.8,88,75,6.91,IN,1620782639
27,provideniya,64.3833,-173.3,35.6,80,90,13.42,RU,1620782640
28,bredasdorp,-34.5322,20.0403,55.4,82,0,6.91,ZA,1620782641
29,houma,29.5958,-90.7195,75.0,100,90,13.8,US,1620782132
30,mar del plata,43.4002,-4.0094,59.0,51,0,9.22,ES,1620782644
31,paita,-5.0892,-81.1144,69.89,74,0,16.58,PE,1620782645
32,yertsevo,60.7966,40.086,48.15,94,9,4.56,RU,1620782646
33,gotsu,35.0,132.2167,66.2,77,100,3.44,JP,1620782648
34,fairbanks,64.8378,-147.7164,62.6,33,90,6.91,US,1620782649
35,luderitz,-26.6481,15.1594,68.18,44,0,7.49,NA,1620782050
36,mataura,-46.1927,168.8643,48.99,77,8,3.0,NZ,1620782651
37,kapaa,22.0752,-159.319,80.6,61,20,13.8,US,1620782652
38,san rafael,13.3034,-4.8956,90.52,32,99,8.7,ML,1620782654
39,saskylakh,71.9167,114.0833,22.44,85,100,10.25,RU,1620782573
40,jamestown,42.097,-79.2353,44.01,65,90,6.91,US,1620782650
41,talnakh,69.4865,88.3972,33.48,100,100,3.76,RU,1620782657
42,san francisco del mar,13.3034,-4.8956,90.52,32,99,8.7,ML,1620782659
43,arraial do cabo,-22.8362,-46.646,70.0,56,0,10.36,BR,1620782660
44,punta arenas,8.9897,125.34,85.82,65,19,5.66,PH,1620782661
45,east london,65.0,-15.0,28.4,74,75,4.61,IS,1620782662
46,butaritari,3.0707,172.7902,82.69,74,100,11.92,KI,1620782664
47,ughelli,5.4899,6.0074,75.2,93,82,3.24,NG,1620782665
48,laguna,38.421,-121.4238,95.0,7,1,4.61,US,1620782666
49,grand river south east,38.8755,-109.5012,66.99,11,1,3.44,US,1620782668
50,abu samrah,24.6,72.7,68.16,66,21,7.23,IN,1620782669
51,maceio,-9.6658,-35.7353,73.4,100,90,6.91,BR,1620782580
52,vila,42.0304,-8.1588,50.0,93,94,24.0,PT,1620782671
53,sao mateus,20.5113,76.2129,77.5,50,8,11.32,IN,1620782673
54,codrington,-38.2667,141.9667,56.62,58,0,9.37,AU,1620782117
55,jiazi,22.8779,116.067,84.04,74,27,12.55,CN,1620782675
56,port alfred,-7.0349,29.7638,68.4,74,0,6.2,CD,1620782676
57,arman,59.7,150.1667,42.84,63,25,4.29,RU,1620782678
58,vao,-22.6667,167.4833,74.91,78,97,19.64,NC,1620782679
59,vaini,-21.2,-175.2,78.8,69,75,11.5,TO,1620782680
60,saint-philippe,-21.3585,55.7679,71.6,68,0,6.91,RE,1620782682
61,sabang,5.8933,95.3214,83.62,73,29,2.42,ID,1620782123
62,hobart,-42.8794,147.3294,55.4,50,75,6.91,AU,1620782684
63,hermanus,-34.4187,19.2345,57.99,81,0,1.99,ZA,1620782685
64,albany,42.6001,-73.9662,48.99,44,0,10.0,US,1620782641
65,saint-gaudens,43.0833,0.6667,46.4,76,90,3.44,FR,1620782688
66,kamir,30.4333,73.05,83.34,34,67,4.54,PK,1620782689
67,hit,33.6416,42.8251,78.85,32,6,6.02,IQ,1620782690
68,bluff,-46.6,168.3333,48.99,77,32,3.0,NZ,1620782692
69,cassilandia,-19.1133,-51.7342,69.33,45,10,3.6,BR,1620782693
70,puri,19.8,85.85,81.0,94,20,3.44,IN,1620782694
71,belmonte,-15.8631,-38.8828,68.0,83,20,4.61,BR,1620782696
72,saldanha,-33.0117,17.9442,50.0,87,0,3.44,ZA,1620782697
73,khatanga,71.9667,102.5,33.13,100,100,11.99,RU,1620782698
74,winburg,-28.518,27.0093,48.88,53,0,2.62,ZA,1620782700
75,nuoro,40.3211,9.3297,57.2,58,0,14.97,IT,1620782701
76,warrnambool,-38.3833,142.4833,57.99,76,0,7.0,AU,1620782704
77,georgetown,5.4112,100.3354,84.2,83,20,4.61,MY,1620782456
78,keti bandar,40.8737,43.8448,35.6,87,0,3.22,AM,1620782707
79,san patricio,13.3034,-4.8956,90.52,32,99,8.7,ML,1620782708
80,heihe,50.2441,127.4902,50.0,87,40,29.08,CN,1620782709
81,goma,-1.6792,29.2228,61.3,94,100,4.29,CD,1620782710
82,west bay,31.8024,-97.0917,64.4,100,75,9.22,US,1620782660
83,busselton,-33.65,115.3333,57.99,92,100,4.0,AU,1620782713
84,dubna,56.7333,37.1667,49.41,96,1,3.49,RU,1620782714
85,yingkou,40.6648,122.2283,60.19,71,95,6.29,CN,1620782716
86,hilo,19.7297,-155.09,82.4,54,90,11.5,US,1620782602
87,nikolskoye,59.7035,30.7861,55.0,62,0,4.47,RU,1620782718
88,katangli,51.7102,143.2326,47.05,43,2,5.88,RU,1620782719
89,tam ky,13.1339,12.1367,85.53,29,4,6.15,NE,1620782721
90,new norfolk,6.6518,-10.5932,75.2,94,75,4.61,LR,1620782630
91,hithadhoo,-0.6,73.0833,81.73,77,95,11.72,MV,1620782723
